pH,CEC,LIME_INDEX,TEMPERATURE,PHOSPHORUS,POTASSIUM,CALCIUM,MAGNESIUM
6.8,7.1,,25,26,115,1040,196
6.6,6.7,70,25,34,129,967,181
6.6,9.7,68,25,72,168,1076,183
6.5,6.7,70,25,32,120,999,167
6.5,6.4,70,25,32,92,958,159
6.3,4.4,70,25,55,80,642,115
6.5,8.2,69,25,37,120,1037,182
6.2,7.9,69,25,34,106,989,175
6.6,8,69,25,39,128,993,181
6,8.7,68,25,35,117,905,172
6.5,6.8,70,25,26,103,998,185
6.3,5.8,70,25,40,87,861,153
6.9,7.1,,25,23,101,1050,191
6.4,6.9,69,25,50,104,823,153
6.6,6.5,70,25,38,115,985,156
6.5,7.6,70,25,24,121,1109,205
6.6,6.9,70,25,25,110,1019,184
6.3,6.1,70,25,37,84,955,139
6.6,8.6,69,25,20,89,1136,185
6.7,6.5,70,25,26,71,971,178
6.5,7,70,25,21,79,1049,182
6.7,7,70,25,24,79,1063,181
6.4,7.5,70,25,23,72,1127,199
6.5,5.6,70,25,32,37,874,139
6.1,8.7,68,25,51,126,979,135
6.3,7.7,69,25,31,118,977,154
6.2,7.6,69,25,59,153,960,146
6.5,7.2,69,25,59,157,913,128
5.9,8.2,68,25,31,108,892,128
6,8.1,68,25,59,84,954,83
6.2,8.1,69,25,46,163,976,195
6.7,7.5,70,25,37,163,1054,215
6.4,8.6,69,25,51,157,1073,196
6.8,7.2,,25,39,163,1026,195
6.5,7.3,70,25,42,141,1059,199
6.6,5.9,70,25,58,148,860,143
5,11.2,63,25,61,92,424,48
5.3,11.1,63,25,68,99,410,53
5.1,9,65,25,51,81,470,49
5.4,10.5,64,25,42,85,522,54
6.3,5.3,,25,18,87,718,175
6.3,5.9,,25,21,100,790,198
6.3,6.4,,25,59,116,713,156
6.4,5.4,,25,20,93,746,172
6.3,6.3,,25,22,81,881,197
6.3,3.7,,25,41,56,517,116
6.1,5.4,,25,25,97,747,166
6.2,6.1,,25,24,92,850,197
6,7.3,,25,25,114,823,200
6,5.2,,25,24,101,702,167
6.2,6.2,,25,20,100,834,212
6.4,4.4,,25,31,55,635,136
6.5,5.8,,25,15,80,806,193
6.4,5,,25,37,87,682,167
6.4,5.6,,25,25,96,793,161
6.4,6.2,,25,18,106,838,209
6.4,6.3,,25,16,93,852,216
6.4,5.5,,25,27,74,795,155
6.2,6.1,,25,17,80,870,189
6.5,5.6,,25,21,66,774,193
6.3,6.1,,25,17,79,837,201
6.5,6.2,,25,16,83,869,196
6.4,6.1,,25,11,67,851,199
6.3,4.5,,25,26,34,641,139
5.9,5.9,,25,38,115,673,125
5.8,6.7,,25,25,100,774,170
6.2,4.8,,25,57,117,706,121
6.1,5.9,,25,46,139,843,159
5.9,5.8,,25,30,93,672,119
5.6,6.8,,25,49,77,717,78
6.2,5.6,,25,27,126,742,191
6.4,6.7,,25,20,137,868,243
6.4,6.6,,25,37,138,884,218
6.5,5.8,,25,23,130,768,199
6.4,6.2,,25,21,111,837,205
6.4,4.6,,25,35,105,625,140
5,9.9,,25,41,58,407,65
5,8.6,,25,38,59,384,66
5.1,8.2,,25,30,54,534,75
5.1,7.8,,25,34,51,465,64
6.3,5.3,,25,18,87,718,175
6.3,5.9,,25,21,100,790,198
6.3,6.4,,25,59,116,713,156
6.4,5.4,,25,20,93,746,172
6.3,6.3,,25,22,81,881,197
6.3,3.7,,25,41,56,517,116
6.1,5.4,,25,25,97,747,166
6.2,6.1,,25,24,92,850,197
6,7.3,,25,25,114,823,200
6,5.2,,25,24,101,702,167
6.2,6.2,,25,20,100,834,212
6.4,4.4,,25,31,55,635,136
6.5,5.8,,25,15,80,806,193
6.4,5,,25,37,87,682,167
6.4,5.6,,25,25,96,793,161
6.4,6.2,,25,18,106,838,209
6.4,6.3,,25,16,93,852,216
6.4,5.5,,25,27,74,795,155
6.2,6.1,,25,17,80,870,189
6.5,5.6,,25,21,66,774,193
6.3,6.1,,25,17,79,837,201
6.5,6.2,,25,16,83,869,196
6.4,6.1,,25,11,67,851,199
6.3,4.5,,25,26,34,641,139
5.9,5.9,,25,38,115,673,125
5.8,6.7,,25,25,100,774,170
6.2,4.8,,25,57,117,706,121
6.1,5.9,,25,46,139,843,159
5.9,5.8,,25,30,93,672,119
5.6,6.8,,25,49,77,717,78
6.2,5.6,,25,27,126,742,191
6.4,6.7,,25,20,137,868,243
6.4,6.6,,25,37,138,884,218
6.5,5.8,,25,23,130,768,199
6.4,6.2,,25,21,111,837,205
6.4,4.6,,25,35,105,625,140
5,9.9,,25,41,58,407,65
5,8.6,,25,38,59,384,66
5.1,8.2,,25,30,54,534,75
5.1,7.8,,25,34,51,465,64
6.3,,,25,24,113,906,171
6.4,,,25,26,141,1087,218
6.5,,,25,63,169,1139,223
6.4,,,25,23,132,1197,218
6.3,,,25,26,102,999,200
6.3,,,25,46,84,843,164
6.1,,,25,31,130,1033,191
6.3,,,25,26,112,1138,210
6.2,,,25,34,144,1073,214
6,,,25,30,129,903,188
6.1,,,25,19,106,901,196
6.3,,,25,29,73,840,167
6.5,,,25,16,92,902,184
6.4,,,25,46,106,846,180
6.4,,,25,28,116,930,177
6.3,,,25,17,113,984,191
6.3,,,25,19,119,1029,204
6.3,,,25,28,89,970,168
6.2,,,25,19,113,1039,168
6.3,,,25,25,89,918,185
6.2,,,25,22,91,955,183
6.5,,,25,20,107,1084,181
6.2,,,25,14,88,1025,206
6.3,,,25,32,45,877,189
5.9,,,25,42,136,895,170
5.9,,,25,33,125,947,184
6,,,25,57,147,849,170
6.1,,,25,51,197,1118,203
5.8,,,25,34,134,881,182
5.7,,,25,52,103,955,142
6.2,,,25,29,91,937,215
6.4,,,25,20,95,883,242
6.3,,,25,39,112,986,242
6.5,,,25,22,95,852,232
6.3,,,25,22,76,788,211
6.5,,,25,33,74,692,197
6.1,,69,25,22,122,756,163
6.3,,69,25,28,131,833,169
6.2,,67,25,71,190,899,171
6.2,,69,25,28,144,805,150
6.2,,69,25,31,103,900,165
6.3,,69,25,51,89,684,131
6.1,,68,25,38,166,880,171
6.2,,69,25,27,140,926,199
6.1,,67,25,34,154,853,177
5.9,,67,25,31,140,759,157
5.9,,67,25,22,126,796,174
6.2,,68,25,36,75,690,130
6.4,,69,25,19,121,879,181
6.2,,68,25,51,156,795,167
6.3,,69,25,34,156,911,180
6.3,,69,25,20,137,854,192
6.2,,69,25,19,138,902,205
6.2,,69,25,34,97,780,158
6.2,,69,25,19,107,940,197
6.3,,69,25,27,81,784,182
6.2,,68,25,21,96,860,191
6.2,,69,25,22,78,701,148
6.2,,69,25,13,69,832,183
6.3,,69,25,32,37,696,146
5.9,,67,25,44,126,778,146
5.8,,66,25,31,119,817,166
6,,68,25,63,136,746,126
6.1,,69,25,62,153,806,147
5.8,,67,25,27,99,788,145
5.7,,66,25,52,87,840,94
6.1,,68,25,37,118,799,193
6.2,,69,25,21,89,867,223
6.1,,68,25,44,106,880,210
6.3,,69,25,31,105,886,206
